,rk,team1,year,date,time,local_time,home_away,team2,Week,Game_Number,day,win1?,OT,points_1,points_2,point_differential,combined_points,spread,team1_covered_spread?,over_under,over_under_result?,pass_completions1,pass_attempts1,completion_percentage1,passing_yards1,passing_touchdowns1,interceptions1,times_sacked1,sack_yards_lost1,qbr1,rushing_attempts1,rushing_yards1,rushing_yards_per_attempt1,rushing_touchdowns1,total_yards1,offensive_plays1,yards_per_play_offense1,defensive_plays1,yards_allowed_per_defensive_play1,turnovers_lost1,time_of_possession1,game_duration
79,177,CIN,2019,2019-10-13,1:00,1:00,Away,BAL,6,6,Sun,L 17-23,,17,23,-6,40,10.5,covered,47.0,under,21,39,53.8,217,0,1,2,18,59.5,14,33,2.36,1,250,55,4.5455,77,6.4545,1,20:18,3:12
80,178,ARI,2019,2019-10-13,4:05,2:05,Home,ATL,6,6,Sun,W 34-33,,34,33,1,67,3.0,covered,52.5,over,27,37,73.0,340,3,0,0,0,128.2,29,102,3.52,1,442,66,6.6970,63,7.0476,,27:13,3:07
81,179,HOU,2019,2019-10-13,1:00,12:00,Away,KAN,6,6,Sun,W 31-24,,31,24,7,55,3.5,covered,54.5,over,30,42,71.4,280,1,2,0,0,77.5,41,192,4.68,3,472,83,5.6867,47,6.5745,3,39:48,3:07
82,180,MIA,2019,2019-10-13,1:00,1:00,Home,WAS,6,5,Sun,L 16-17,,16,17,-1,33,6.0,covered,42.0,under,27,43,62.8,187,1,2,5,30,60.9,21,84,4.00,1,271,69,3.9275,58,5.3621,2,32:39,3:09
84,181,NOR,2019,2019-10-13,1:00,1:00,Away,JAX,6,6,Sun,W 13-6,,13,6,7,19,2.5,covered,42.5,under,24,36,66.7,222,1,0,3,18,92.6,26,104,4.00,0,326,65,5.0154,55,4.1091,,33:09,2:52
85,182,NYJ,2019,2019-10-13,4:25,4:25,Home,DAL,6,5,Sun,W 24-22,,24,22,2,46,7.0,covered,43.5,over,23,32,71.9,326,2,1,2,12,112.2,20,56,2.80,1,382,54,7.0741,75,5.3200,1,27:57,2:59
86,183,TEN,2019,2019-10-13,4:25,2:25,Away,DEN,6,6,Sun,L 0-16,,0,16,-16,16,1.0,not covered,41.0,under,20,34,58.8,165,0,3,7,42,34.6,21,39,1.86,0,204,62,3.2903,59,4.5763,3,30:14,2:55
87,184,PHI,2019,2019-10-13,1:00,3:00,Away,MIN,6,6,Sun,L 20-38,,20,38,-18,58,3.5,not covered,44.0,over,26,41,63.4,292,2,2,2,14,80.5,22,108,4.91,0,400,65,6.1538,65,6.8769,3,27:56,3:07
88,185,PIT,2019,2019-10-13,8:20,5:20,Away,LAC,6,6,Sun,W 24-17,,24,17,7,41,6.0,covered,42.5,under,15,20,75.0,132,1,1,0,0,87.9,36,124,3.44,1,256,56,4.5714,59,5.8983,1,34:05,2:55
89,186,SEA,2019,2019-10-13,1:00,1:00,Away,CLE,6,6,Sun,W 32-28,,32,28,4,60,1.0,covered,45.5,over,23,33,69.7,284,2,0,3,11,116.2,38,170,4.47,2,454,74,6.1351,61,6.6557,1,33:41,3:31
90,187,SFO,2019,2019-10-13,4:05,1:05,Away,LAR,6,5,Sun,W 20-7,,20,7,13,27,3.0,covered,49.5,under,24,33,72.7,232,0,1,2,11,79.4,41,99,2.41,2,331,76,4.3553,50,3.1400,2,38:52,3:11
91,188,TAM,2019,2019-10-13,9:30,2:30,Home,CAR,6,6,Sun,L 26-37,,26,37,-11,63,2.0,not covered,48.5,over,30,54,55.6,365,1,5,7,35,44.1,14,42,3.00,2,407,75,5.4267,63,4.2540,7,28:50,3:26
92,189,NYG,2019,2019-10-10,8:20,8:20,Away,NWE,6,6,Thu,L 14-35,,14,35,-21,49,16.5,not covered,43.0,over,15,31,48.4,161,1,3,1,0,35.2,16,52,3.25,0,213,48,4.4375,78,5.4744,4,20:24,3:02
93,190,CLE,2019,2019-10-07,8:15,5:15,Away,SFO,5,5,Mon,L 3-31,,3,31,-28,34,5.0,not covered,47.5,under,9,24,37.5,78,0,2,4,42,12.2,18,102,5.67,0,180,46,3.9130,71,6.2817,4,22:17,2:57
94,191,ATL,2019,2019-10-06,1:00,12:00,Away,HOU,5,5,Sun,L 32-53,,32,53,-21,85,4.0,not covered,49.0,over,32,46,69.6,316,3,1,2,14,101.4,20,57,2.85,1,373,68,5.4853,67,8.8358,1,29:00,3:13
95,192,BUF,2019,2019-10-06,1:00,12:00,Away,TEN,5,5,Sun,W 14-7,,14,7,7,21,3.5,covered,39.5,under,23,32,71.9,204,2,1,4,15,96.4,27,109,4.04,0,313,63,4.9683,54,4.6667,1,31:12,2:54
96,193,IND,2019,2019-10-06,8:20,7:20,Away,KAN,5,5,Sun,W 19-13,,19,13,6,32,10.5,covered,55.5,under,18,29,62.1,151,0,1,0,0,61.1,45,180,4.00,1,331,74,4.4730,57,5.6842,1,37:15,3:15
97,194,ARI,2019,2019-10-06,1:00,1:00,Away,CIN,5,5,Sun,W 26-23,,26,23,3,49,3.0,covered,45.0,over,20,32,62.5,248,0,0,1,5,86.5,38,266,7.00,2,514,71,7.2394,62,5.9677,,31:03,3:03
98,195,DEN,2019,2019-10-06,4:05,1:05,Away,LAC,5,5,Sun,W 20-13,,20,13,7,33,4.0,covered,46.0,under,14,20,70.0,159,1,1,3,23,89.4,32,191,5.97,1,350,55,6.3636,64,3.8438,2,29:36,3:03
99,196,GNB,2019,2019-10-06,4:25,3:25,Away,DAL,5,5,Sun,W 34-24,,34,24,10,58,3.5,covered,46.5,over,22,34,64.7,215,0,0,2,23,82.4,29,120,4.14,4,335,65,5.1538,68,8.2794,,36:43,3:31
100,197,JAX,2019,2019-10-06,1:00,1:00,Away,CAR,5,5,Sun,L 27-34,,27,34,-7,61,3.0,not covered,41.0,over,26,44,59.1,358,2,0,2,16,100.4,31,149,4.81,1,507,77,6.5844,61,7.2951,3,32:24,3:28
101,198,NYG,2019,2019-10-06,1:00,1:00,Home,MIN,5,5,Sun,L 10-28,,10,28,-18,38,5.5,not covered,44.0,under,21,38,55.3,147,1,1,4,35,62.1,20,64,3.20,0,211,62,3.4032,64,7.6563,1,27:20,3:03
102,199,NYJ,2019,2019-10-06,1:00,1:00,Away,PHI,5,4,Sun,L 6-31,,6,31,-25,37,14.0,not covered,43.0,under,15,26,57.7,61,0,2,10,59,30.6,19,67,3.53,1,128,55,2.3273,59,4.4915,3,29:08,3:01
103,200,PIT,2019,2019-10-06,1:00,1:00,Home,BAL,5,5,Sun,L 23-26,OT,23,26,-3,49,3.5,covered,44.0,over,21,31,67.7,192,1,1,1,11,81.7,19,77,4.05,1,269,51,5.2745,73,3.7945,2,25:34,3:23
0,201,OAK,2019,2019-10-06,1:00,6:00,Home,CHI,5,5,Sun,W 24-21,,24,21,3,45,6.5,covered,39.5,over,25,32,78.1,229,0,0,0,0,96.5,39,169,4.33,3,398,71,5.6056,51,4.6275,2,34:43,3:08
1,202,TAM,2019,2019-10-06,1:00,12:00,Away,NOR,5,5,Sun,L 24-31,,24,31,-7,55,3.0,not covered,46.0,over,15,27,55.6,158,2,0,6,46,97.5,22,94,4.27,1,252,55,4.5818,67,6.8209,,26:33,3:07
2,203,WAS,2019,2019-10-06,1:00,1:00,Home,NWE,5,5,Sun,L 7-33,,7,33,-26,40,15.5,not covered,42.0,under,18,27,66.7,78,0,1,6,44,54.7,20,145,7.25,1,223,53,4.2075,74,5.9730,2,28:07,3:08
3,204,LAR,2019,2019-10-03,8:20,5:20,Away,SEA,5,5,Thu,L 29-30,,29,30,-1,59,1.5,covered,49.0,over,29,49,59.2,395,1,1,0,0,83.3,18,82,4.56,2,477,67,7.1194,67,6.4030,2,24:42,3:27
4,205,CIN,2019,2019-09-30,8:15,8:15,Away,PIT,4,4,Mon,L 3-27,,3,27,-24,30,3.5,not covered,45.5,under,21,37,56.8,102,0,1,8,69,50.6,19,73,3.84,0,175,64,2.7344,56,5.8214,2,30:14,2:56
5,206,BUF,2019,2019-09-29,1:00,1:00,Home,NWE,4,4,Sun,L 10-16,,10,16,-6,26,7.0,covered,41.5,under,22,44,50.0,240,0,4,5,40,28.6,22,135,6.14,1,375,71,5.2817,62,3.6129,4,32:40,3:19
6,207,CAR,2019,2019-09-29,1:00,12:00,Away,HOU,4,4,Sun,W 16-10,,16,10,6,26,5.5,covered,47.5,under,24,34,70.6,203,0,0,3,29,85.8,28,94,3.36,1,297,65,4.5692,62,4.2581,3,30:38,3:06
7,208,CHI,2019,2019-09-29,4:25,3:25,Home,MIN,4,4,Sun,W 16-6,,16,6,10,22,1.0,covered,38.0,under,24,33,72.7,197,1,0,1,7,97.7,33,72,2.18,0,269,67,4.0149,58,3.8276,,35:27,2:59
8,209,CLE,2019,2019-09-29,1:00,1:00,Away,BAL,4,4,Sun,W 40-25,,40,25,15,65,7.5,covered,47.0,over,20,31,64.5,337,1,1,1,5,98.5,29,193,6.66,4,530,61,8.6885,67,5.8955,1,30:17,3:08
9,210,ARI,2019,2019-09-29,4:05,2:05,Home,SEA,4,4,Sun,L 10-27,,10,27,-17,37,5.5,not covered,49.0,under,22,32,68.8,206,0,1,4,35,73.2,23,115,5.00,1,321,59,5.4407,59,5.7627,1,26:36,2:56
10,211,DET,2019,2019-09-29,1:00,1:00,Home,KAN,4,4,Sun,L 30-34,,30,34,-4,64,7.5,covered,54.5,over,21,34,61.8,261,3,0,4,30,115.0,35,186,5.31,0,447,73,6.1233,67,6.5373,2,33:55,3:34
11,212,JAX,2019,2019-09-29,4:25,2:25,Away,DEN,4,4,Sun,W 26-24,,26,24,2,50,2.5,covered,37.0,over,19,33,57.6,186,2,0,5,27,93.7,38,269,7.08,0,455,76,5.9868,54,6.8704,,39:12,3:15
12,213,MIA,2019,2019-09-29,1:00,1:00,Home,LAC,4,4,Sun,L 10-30,,10,30,-20,40,15.0,not covered,43.5,under,17,24,70.8,161,1,1,5,19,85.6,18,72,4.00,0,233,47,4.9574,65,6.0000,1,22:24,2:52
13,214,NOR,2019,2019-09-29,8:20,7:20,Home,DAL,4,4,Sun,W 12-10,,12,10,2,22,2.5,covered,47.0,under,23,30,76.7,149,0,1,5,44,72.8,27,117,4.33,0,266,62,4.2903,54,4.7593,1,36:04,2:56
14,215,TEN,2019,2019-09-29,1:00,1:00,Away,ATL,4,4,Sun,W 24-10,,24,10,14,34,3.5,covered,46.0,under,18,27,66.7,227,3,0,0,0,129.7,34,138,4.06,0,365,61,5.9836,75,5.6267,,29:19,2:57
15,216,OAK,2019,2019-09-29,1:00,1:00,Away,IND,4,4,Sun,W 31-24,,31,24,7,55,5.5,covered,46.0,over,21,31,67.7,189,2,0,1,0,105.4,32,188,5.88,1,377,64,5.8906,69,5.0145,1,33:41,3:11
16,217,TAM,2019,2019-09-29,4:05,1:05,Away,LAR,4,4,Sun,W 55-40,,55,40,15,95,9.0,covered,48.5,over,28,41,68.3,376,4,1,2,9,119.6,30,88,2.93,2,464,73,6.3562,81,6.3951,1,32:36,3:39
17,218,WAS,2019,2019-09-29,1:00,1:00,Away,NYG,4,4,Sun,L 3-24,,3,24,-21,27,3.0,not covered,48.0,under,15,28,53.6,121,0,4,3,23,25.1,17,55,3.24,0,176,48,3.6667,68,5.7206,4,23:51,2:52
18,219,PHI,2019,2019-09-26,8:20,7:20,Away,GNB,4,4,Thu,W 34-27,,34,27,7,61,3.5,covered,46.0,over,16,27,59.3,160,3,0,0,0,113.2,33,176,5.33,2,336,60,5.6000,74,6.6351,,27:39,3:27
19,220,WAS,2019,2019-09-23,8:15,8:15,Home,CHI,3,3,Mon,L 15-31,,15,31,-16,46,5.0,not covered,41.0,over,30,43,69.8,287,2,3,4,45,74.5,21,69,3.29,0,356,68,5.2353,58,5.1379,5,28:24,3:05
21,221,ATL,2019,2019-09-22,1:00,1:00,Away,IND,3,3,Sun,L 24-27,,24,27,-3,51,1.0,not covered,48.0,over,29,34,85.3,304,3,1,0,0,121.1,20,93,4.65,0,397,54,7.3519,62,6.1129,1,28:37,2:59
22,222,CAR,2019,2019-09-22,4:05,2:05,Away,ARI,3,3,Sun,W 38-20,,38,20,18,58,2.5,covered,46.0,over,19,26,73.1,240,4,0,2,21,141.0,31,173,5.58,1,413,59,7.0000,73,3.3973,1,28:16,2:56
23,223,CIN,2019,2019-09-22,1:00,1:00,Away,BUF,3,3,Sun,L 17-21,,17,21,-4,38,5.5,covered,43.5,under,20,36,55.6,240,1,2,2,10,62.3,19,66,3.47,1,306,57,5.3684,73,5.6986,4,23:06,3:15
24,224,CLE,2019,2019-09-22,8:20,8:20,Home,LAR,3,3,Sun,L 13-20,,13,20,-7,33,4.0,not covered,48.0,under,18,36,50.0,175,1,1,3,20,61.7,24,95,3.96,0,270,63,4.2857,64,5.3750,1,31:37,3:04
25,225,DEN,2019,2019-09-22,1:00,12:00,Away,GNB,3,3,Sun,L 16-27,,16,27,-11,43,7.0,not covered,42.0,over,20,29,69.0,161,0,1,6,52,68.3,38,149,3.92,2,310,73,4.2466,52,6.0000,3,35:34,2:58
26,226,DET,2019,2019-09-22,1:00,1:00,Away,PHI,3,3,Sun,W 27-24,,27,24,3,51,4.0,covered,45.0,over,18,32,56.3,201,1,0,0,0,85.5,28,86,3.07,1,287,60,4.7833,69,5.4058,,27:42,3:09
27,227,HOU,2019,2019-09-22,4:25,1:25,Away,LAC,3,3,Sun,W 27-20,,27,20,7,47,3.0,covered,49.0,under,25,34,73.5,337,3,0,2,14,134.1,19,39,2.05,1,376,55,6.8364,69,5.3043,1,28:12,3:17
28,228,MIA,2019,2019-09-22,1:00,12:00,Away,DAL,3,3,Sun,L 6-31,,6,31,-25,37,22.0,not covered,46.5,under,20,41,48.8,211,0,0,3,18,64.2,24,72,3.00,0,283,68,4.1618,67,7.1045,1,29:04,3:08
29,229,NOR,2019,2019-09-22,4:25,1:25,Away,SEA,3,3,Sun,W 33-27,,33,27,6,60,5.0,covered,44.0,over,19,27,70.4,177,2,0,0,0,112.7,23,88,3.83,1,265,50,5.3000,76,6.7632,1,28:27,3:09
30,230,NYG,2019,2019-09-22,4:05,4:05,Away,TAM,3,3,Sun,W 32-31,,32,31,1,63,5.0,covered,48.0,over,23,36,63.9,312,2,0,5,24,110.0,19,72,3.79,2,384,60,6.4000,73,6.8356,2,26:48,3:20
31,231,NYJ,2019,2019-09-22,1:00,1:00,Away,NWE,3,3,Sun,L 14-30,,14,30,-16,44,20.5,covered,43.0,over,12,22,54.5,69,0,1,5,29,41.7,20,36,1.80,0,105,47,2.2340,73,5.2192,1,24:46,2:58
32,232,PIT,2019,2019-09-22,4:25,1:25,Away,SFO,3,3,Sun,L 20-24,,20,24,-4,44,6.0,covered,44.5,under,14,27,51.9,160,2,1,2,14,79.2,22,79,3.59,0,239,51,4.6863,73,5.9726,2,23:43,2:57
33,233,OAK,2019,2019-09-22,1:00,3:00,Away,MIN,3,3,Sun,L 14-34,,14,34,-20,48,8.5,not covered,43.0,over,27,34,79.4,214,2,1,4,28,100.2,20,88,4.40,0,302,58,5.2069,59,6.5254,1,28:28,2:49
34,234,BAL,2019,2019-09-22,1:00,12:00,Away,KAN,3,3,Sun,L 28-33,,28,33,-5,61,4.5,not covered,52.0,over,22,43,51.2,249,0,0,3,18,68.8,32,203,6.34,4,452,78,5.7949,63,7.9841,,32:44,3:12
35,235,JAX,2019,2019-09-19,8:20,8:20,Home,TEN,3,3,Thu,W 20-7,,20,7,13,27,1.5,covered,38.0,under,20,30,66.7,204,2,0,0,0,108.2,20,88,4.40,0,292,50,5.8400,75,4.5333,,24:44,3:01
36,236,NYJ,2019,2019-09-16,8:15,8:15,Home,CLE,2,2,Mon,L 3-23,,3,23,-20,26,6.5,not covered,45.5,under,23,31,74.2,169,0,0,4,32,86.6,24,93,3.88,0,262,59,4.4407,59,6.3559,1,30:19,3:02
37,237,ATL,2019,2019-09-15,8:20,8:20,Home,PHI,2,2,Sun,W 24-20,,24,20,4,44,1.0,covered,53.0,under,27,43,62.8,310,3,3,1,10,78.6,17,57,3.35,0,367,61,6.0164,72,3.9722,3,27:06,3:16
38,238,IND,2019,2019-09-15,1:00,12:00,Away,TEN,2,2,Sun,W 19-17,,19,17,2,36,3.0,covered,43.5,under,17,28,60.7,121,3,1,3,25,91.5,34,167,4.91,0,288,65,4.4308,56,4.3393,2,31:54,3:01
39,239,ARI,2019,2019-09-15,1:00,1:00,Away,BAL,2,2,Sun,L 17-23,,17,23,-6,40,13.0,covered,46.0,under,25,40,62.5,329,0,0,3,20,88.4,11,20,1.82,1,349,54,6.4630,72,6.1111,,22:22,3:09
40,240,DEN,2019,2019-09-15,4:25,2:25,Home,CHI,2,2,Sun,L 14-16,,14,16,-2,30,3.0,covered,41.0,under,35,50,70.0,282,1,1,2,10,82.2,24,90,3.75,0,372,76,4.8947,56,4.8750,1,32:59,3:06
42,241,DET,2019,2019-09-15,1:00,1:00,Home,LAC,2,2,Sun,W 13-10,,13,10,3,23,1.0,covered,47.0,under,22,30,73.3,245,2,2,0,0,91.7,28,94,3.36,0,339,58,5.8448,62,6.8387,2,28:41,2:55
43,242,JAX,2019,2019-09-15,1:00,12:00,Away,HOU,2,2,Sun,L 12-13,,12,13,-1,25,7.5,covered,43.0,under,23,33,69.7,178,1,0,4,35,92.7,21,103,4.90,0,281,58,4.8448,63,4.1746,1,30:01,3:04
44,243,MIA,2019,2019-09-15,1:00,1:00,Home,NWE,2,2,Sun,L 0-43,,0,43,-43,43,18.0,not covered,48.5,under,18,39,46.2,142,0,4,7,44,16.1,15,42,2.80,0,184,61,3.0164,65,5.8308,4,23:30,3:09
45,244,MIN,2019,2019-09-15,1:00,12:00,Away,GNB,2,2,Sun,L 16-21,,16,21,-5,37,3.0,not covered,43.0,under,14,32,43.8,223,1,2,1,7,52.0,27,198,7.33,1,421,60,7.0167,69,4.8551,4,25:54,3:18
46,245,NOR,2019,2019-09-15,4:25,1:25,Away,LAR,2,2,Sun,L 9-27,,9,27,-18,36,2.0,not covered,52.5,under,20,35,57.1,187,0,1,2,16,60.1,20,57,2.85,0,244,57,4.2807,61,6.2295,1,29:39,3:09
47,246,NYG,2019,2019-09-15,1:00,1:00,Home,BUF,2,2,Sun,L 14-28,,14,28,-14,42,1.0,not covered,44.5,under,26,45,57.8,241,1,2,1,9,61.4,20,129,6.45,1,370,66,5.6061,67,5.7910,2,27:22,3:11
48,247,OAK,2019,2019-09-15,4:05,1:05,Home,KAN,2,2,Sun,L 10-28,,10,28,-18,38,7.0,not covered,53.5,under,23,38,60.5,178,1,2,3,20,58.9,19,129,6.79,0,307,60,5.1167,68,6.8676,2,27:25,3:12
49,248,SEA,2019,2019-09-15,1:00,1:00,Away,PIT,2,2,Sun,W 28-26,,28,26,2,54,4.0,covered,47.0,over,29,35,82.9,274,3,0,4,26,127.9,33,151,4.58,1,425,72,5.9028,51,5.1176,2,35:46,3:14
50,249,SFO,2019,2019-09-15,1:00,1:00,Away,CIN,2,2,Sun,W 41-17,,41,17,24,58,1.0,covered,46.0,over,18,26,69.2,312,3,1,0,0,132.2,42,259,6.17,2,571,68,8.3971,65,4.8615,1,32:19,2:59
51,250,WAS,2019,2019-09-15,1:00,1:00,Home,DAL,2,2,Sun,L 21-31,,21,31,-10,52,6.0,not covered,46.5,over,26,37,70.3,208,2,0,1,13,102.1,17,47,2.76,1,255,55,4.6364,65,7.2923,,26:38,2:54
52,251,TAM,2019,2019-09-12,8:20,8:20,Away,CAR,2,2,Thu,W 20-14,,20,14,6,34,6.5,covered,48.0,under,16,25,64.0,189,1,0,3,19,100.2,31,100,3.23,1,289,59,4.8983,73,4.8219,,33:53,3:51
53,252,HOU,2019,2019-09-09,7:10,6:10,Away,NOR,1,1,Mon,L 28-30,,28,30,-2,58,6.5,covered,52.0,over,20,30,66.7,234,3,1,6,34,109.6,23,180,7.83,1,414,59,7.0169,65,7.8462,1,29:47,3:14
54,253,OAK,2019,2019-09-09,10:20,7:20,Home,DEN,1,1,Mon,W 24-16,,24,16,8,40,3.0,covered,42.5,under,22,26,84.6,259,1,0,0,0,121.0,28,98,3.50,2,357,54,6.6111,57,6.0351,,32:45,2:49
55,254,ATL,2019,2019-09-08,1:00,3:00,Away,MIN,1,1,Sun,L 12-28,,12,28,-16,40,3.5,not covered,47.0,under,33,46,71.7,272,2,2,4,32,82.9,17,73,4.29,0,345,67,5.1493,49,5.4898,3,30:13,3:07
56,255,BUF,2019,2019-09-08,1:00,1:00,Away,NYJ,1,1,Sun,W 17-16,,17,16,1,33,2.5,covered,41.0,under,24,37,64.9,242,1,2,1,12,69.9,25,128,5.12,1,370,63,5.8730,66,3.3788,4,27:59,3:09
57,256,CAR,2019,2019-09-08,1:00,1:00,Home,LAR,1,1,Sun,L 27-30,,27,30,-3,57,1.5,not covered,49.5,over,25,38,65.8,216,0,1,3,23,69.6,23,127,5.52,3,343,64,5.3594,72,4.8472,3,26:44,3:12
58,257,CIN,2019,2019-09-08,4:05,1:05,Away,SEA,1,1,Sun,L 20-21,,20,21,-1,41,9.5,covered,44.0,under,35,51,68.6,395,2,0,5,23,104.6,14,34,2.43,0,429,70,6.1286,49,4.7347,3,35:50,3:12
59,258,IND,2019,2019-09-08,4:05,1:05,Away,LAC,1,1,Sun,L 24-30,OT,24,30,-6,54,6.0,push,44.5,over,21,27,77.8,173,2,0,2,17,118.1,33,203,6.15,1,376,62,6.0645,59,7.3729,,32:09,3:04
60,259,ARI,2019,2019-09-08,4:25,2:25,Home,DET,1,1,Sun,T 27-27,OT,27,27,0,54,2.5,covered,45.5,over,29,54,53.7,275,2,1,5,33,72.7,23,112,4.87,0,387,82,4.7195,80,5.9625,1,30:37,3:58
61,260,JAX,2019,2019-09-08,1:00,1:00,Home,KAN,1,1,Sun,L 26-40,,26,40,-14,66,3.5,not covered,49.0,over,27,33,81.8,347,3,1,1,3,128.2,16,81,5.06,0,428,50,8.5600,60,8.1833,2,28:45,3:04
63,261,MIA,2019,2019-09-08,1:00,1:00,Home,BAL,1,1,Sun,L 10-59,,10,59,-49,69,7.0,not covered,41.0,over,15,32,46.9,179,1,2,3,11,48.8,12,21,1.75,0,200,47,4.2553,73,8.8082,3,19:53,2:58
64,262,NYG,2019,2019-09-08,4:25,3:25,Away,DAL,1,1,Sun,L 17-35,,17,35,-18,52,7.0,not covered,44.0,over,33,48,68.8,319,1,0,1,4,94.0,17,151,8.88,1,470,66,7.1212,62,7.9677,2,27:42,3:03
65,263,TEN,2019,2019-09-08,1:00,1:00,Away,CLE,1,1,Sun,W 43-13,,43,13,30,56,5.5,covered,44.0,over,14,24,58.3,216,3,0,4,32,127.8,28,123,4.39,1,339,56,6.0536,63,5.4921,,29:18,3:12
66,264,PIT,2019,2019-09-08,8:20,8:20,Away,NWE,1,1,Sun,L 3-33,,3,33,-30,36,5.5,not covered,49.0,under,27,47,57.4,276,0,1,1,0,65.6,13,32,2.46,0,308,61,5.0492,67,6.9403,1,27:27,3:00
67,265,SFO,2019,2019-09-08,4:25,4:25,Away,TAM,1,1,Sun,W 31-17,,31,17,14,48,1.0,covered,51.0,under,18,27,66.7,158,1,1,1,8,78.9,32,98,3.06,0,256,60,4.2667,65,4.5385,2,30:04,3:06
68,266,WAS,2019,2019-09-08,1:00,1:00,Away,PHI,1,1,Sun,L 27-32,,27,32,-5,59,10.5,covered,44.0,over,30,44,68.2,370,3,0,1,10,116.7,13,28,2.15,0,398,58,6.8621,71,6.1408,,25:33,3:13
69,267,GNB,2019,2019-09-05,8:20,7:20,Away,CHI,1,1,Thu,W 10-3,,10,3,7,13,3.5,covered,47.0,under,18,30,60.0,166,1,0,5,37,86.2,22,47,2.14,0,213,57,3.7368,65,3.9077,,31:03,3:07
